Date,Type,Montant,Description
2020-05-01,versement,6720.0,dépôt initiale
2020-05-04,achat,-382.0,Achat manuel(le) de 10x ALDLT.PA
2020-05-13,achat,-313.5,Renforcement : achat de 10x SCHP.PA
2023-03-13,achat,-418.0,Achat de 4 SCHP.PA
2025-02-04,achat,-633.02,Achat de 2 VIRP.PA
2025-03-10,achat,-663.3,Achat de 20 EXENS.PA
2025-03-24,achat,-471.2,Achat de 10 AUB.PA
