Date,Type,Symbole,Quantité,Prix
2020-05-04,achat,ALDLT.PA,10,38.2
2020-05-13,achat,SCHP.PA,10,31.35
2023-03-13,achat,SCHP.PA,4,104.5
2025-02-04,achat,VIRP.PA,2,316.51
2025-03-10,achat,EXENS.PA,20,33.165
2025-03-24,achat,AUB.PA,10,47.12
